mode;name;IPC;SC;FC1;FC2;LIC;CC;ODC;C2CF;C2MF;Zero;OCC
Mode 1;AEMC;0,495;1;0;1;0;0,950538225;0,8888889;1;0;0;0,861384556
Mode 1;Alarm and Resonse;0,33;0,75;0,25;0,25;0;0;0;0;0;0;0,3325
Mode 1;ANS;0,825;1;0;1;0;1;0,7777778;0,272978267;1;0;0,95625
Mode 1;APS-RCC Module;0,33;1;0;1;0;0,50752606;0,22222223;0,267982253;0,223672229;0;0,709381515
Mode 1;ASC;0,33;1;0;1;0;0,930133333;0,55555555;0,715910009;0,433513254;0;0,815033333
Mode 1;Backup AEMC;0,495;1;0;1;0;0,936696459;0,8888889;0,658055837;0;0;0,857924115
Mode 1;Backup ANS;0,825;1;0;1;0;0,998307181;1;0,07454971;0,994337061;0;0,955826795
Mode 1;Backup ASC;0,33;1;0;1;0;0,83227471;0,55555555;0,606488992;0,416149031;0;0,790568678
Mode 1;Backup CM;0,33;0,75;0;0,75;0;0,595903988;0,44444445;0;0;0;0,606475997
Mode 1;Backup Digital Logbook;0,99;0;0;0,75;0;0,870518867;0,22222223;0,268872245;0,21904069;0;0,652629717
Mode 1;C/D A Device 1;0,33;0,75;0;0,75;0;0,82951652;0,55555555;0,903464259;0,604794986;0;0,66487913
Mode 1;C/D B Device 1;0,33;0,75;0;0,75;0;0,860144377;0,6666667;0,936004999;0,499328605;0;0,672536094
Mode 1;CM;0,33;0,75;0;0,75;0;0,669054591;0,55555555;0;0;0;0,624763648
Mode 1;Digital Logbook;0,99;0;0;0;0;0,896912776;0,33333335;0,286529485;0,216338814;0;0,471728194
Mode 1;DP controller;0,495;0,75;0;0,75;0;0,621015388;0,33333335;0,568394199;0;0;0,654003847
Mode 1;Emergency Controller;0,825;1;0;1;0;0,523278651;0,22222223;0;0;0;0,837069663
Mode 1;Emergency Module 1;0,66;1;0;1;0;0,492309111;0,22222223;0;0;0;0,788077278
Mode 1;Emergency Module 2;0,165;0,75;0,25;0,25;0;0,090499491;0,111111115;0;0;0;0,313874873
Mode 1;Emergency Push Button;0,165;0,75;0;0,25;0;0,054860252;0,111111115;0;0;0;0,304965063
Mode 1;EO cameras;0,165;1;0;1;0;0,372932823;0,111111115;0;0,083156698;0;0,634483206
Mode 1;IO cards;0,33;0,25;0;0,75;0;0,660243892;0,44444445;0,718563473;0;0;0,497560973
Mode 1;Lidars;0,165;1;0;1;0;0,372932823;0,111111115;0;0,083156698;0;0,634483206
Mode 1;Main GNSS IMU;0,165;1;0;1;0;0,451825994;0,111111115;0;0,569040661;0;0,654206499
Mode 1;MCM;0,33;1;0,25;1;0;0,507526064;0,22222223;0,267982253;0,223672236;0;0,709381516
Mode 1;Radars;0,495;1;0;1;0;0,372932823;0,111111115;0;0,083156698;0;0,716983206
Mode 1;RCC-APS-RCC Module;0,33;1;0;1;0;0,457860549;0,22222223;0,111222077;0,150083783;0;0,696965137
Mode 1;RCC-C/D Device 1;0,33;1;0;1;0;0,631662317;0,44444445;0,328869484;0,387755547;0;0,740415579
Mode 1;RCC-CM;0,33;0,75;0;0,75;0;0,508758885;0,33333335;0;0;0;0,584689721
Mode 1;RCC-Digital Logbook;0,99;0;0;0;0;0,613849054;0,22222223;0,029814665;0,059718697;0;0,400962264
Mode 1;RCC-MCM;0,33;1;0,25;1;0;0,457860549;0,22222223;0,11122207;0,150083792;0;0,696965137
Mode 1;RCC-Traffic Module;0,495;1;0;1;0;0,502935268;0,22222223;0;0,412200834;0;0,749483817
Mode 1;REMC;0,495;1;0;1;0;0,587042799;0,33333335;0,652303418;0;0;0,7705107
Mode 1;RNS;0,825;1;0;1;0;0,602637661;0,33333335;0,153570225;0,709043295;0;0,856909415
Mode 1;RSC;0,33;1;0;1;0;0,714267283;0,55555555;0,469297901;0,331066824;0;0,761066821
Mode 1;Sensor Switch;0,33;1;0;1;0;0,549788805;0,22222223;0;0,283601657;0;0,719947201
Mode 1;SPUs;0,495;1;0;1;0;0,906329633;0,7777778;0;0,804936499;0;0,850332408
Mode 1;Thrusters;0;0,25;0;0,75;0;0,085945413;0;0;0;0;0,271486353
Mode 1;Traffic Module;0,495;1;0;1;0;0,730294945;0,55555555;0;0,588765399;0;0,806323736
Mode 1;Video Cameras;0,495;1;0;1;0;0,372932823;0,111111115;0;0,083156698;0;0,716983206
Mode 2;AEMC;0,495;1;0;1;0;0,950538225;0,8888889;0;0;0;0,861384556
Mode 2;Alarm and Resonse;0,33;0,75;0,25;0,25;0;0;0;0;0;0;0,3325
Mode 2;ANS;0,825;1;0;1;0;1;0,7777778;0;0;0;0,95625
Mode 2;APS-RCC Module;0,33;1;0;1;0;0,50752606;0,22222223;0;0;0;0,709381515
Mode 2;ASC;0,33;1;0;1;0;0,930133333;0,55555555;0;0;0;0,815033333
Mode 2;Backup AEMC;0,495;1;0;1;0;0,936696459;0,8888889;1;0;0;0,857924115
Mode 2;Backup ANS;0,825;1;0;1;0;0,998307181;1;0,385542118;0,98525118;0;0,955826795
Mode 2;Backup ASC;0,33;1;0;1;0;0,83227471;0,55555555;0,694386056;0,636251067;0;0,790568678
Mode 2;Backup CM;0,33;0,75;0;0,75;0;0,595903988;0,44444445;0;0;0;0,606475997
Mode 2;Backup Digital Logbook;0,99;0;0;0,75;0;0,870518867;0,22222223;0,190123546;0,382386424;0;0,652629717
Mode 2;C/D A Device 1;0,33;0,75;0;0,75;0;0,82951652;0,55555555;0;0;0;0,66487913
Mode 2;C/D B Device 1;0,33;0,75;0;0,75;0;0,860144377;0,6666667;0,454276303;0,636072511;0;0,672536094
Mode 2;CM;0,33;0,75;0;0,75;0;0,669054591;0,55555555;0;0;0;0,624763648
Mode 2;Digital Logbook;0,99;0;0;0;0;0,896912776;0,33333335;0;0;0;0,471728194
Mode 2;DP controller;0,495;0,75;0;0,75;0;0,621015388;0,33333335;0,355941306;0;0;0,654003847
Mode 2;Emergency Controller;0,825;1;0;1;0;0,523278651;0,22222223;0,52918995;0,267698685;0;0,837069663
Mode 2;Emergency Module 1;0,66;1;0;1;0;0,492309111;0,22222223;0,352931577;0,193820068;0;0,788077278
Mode 2;Emergency Module 2;0,165;0,75;0,25;0,25;0;0,090499491;0,111111115;0;0;0;0,313874873
Mode 2;Emergency Push Button;0,165;0,75;0;0,25;0;0,054860252;0,111111115;0;0;0;0,304965063
Mode 2;EO cameras;0,165;1;0;1;0;0,372932823;0,111111115;0;0,346305582;0;0,634483206
Mode 2;IO cards;0,33;0,25;0;0,75;0;0,660243892;0,44444445;0,535419045;0;0;0,497560973
Mode 2;Lidars;0,165;1;0;1;0;0,372932823;0,111111115;0;0,346305576;0;0,634483206
Mode 2;Main GNSS IMU;0,165;1;0;1;0;0,451825994;0,111111115;0;0,674895559;0;0,654206499
Mode 2;MCM;0,33;1;0,25;1;0;0,507526064;0,22222223;0;0;0;0,709381516
Mode 2;Radars;0,495;1;0;1;0;0,372932823;0,111111115;0;0,346305576;0;0,716983206
