SN;matrix;technique;Mitigation;Efficiency
1;ICS;Activate Firmware Update Mode;Access Management;0.5
2;ICS;Change Program State;Access Management;0.5
3;ICS;Default Credentials;Access Management;0.5
4;ICS;Detect Operating Mode;Access Management;0.5
5;ICS;Detect Program State;Access Management;0.5
6;ICS;Device Restart/Shutdown;Access Management;0.5
7;ICS;Execution through API;Access Management;0.5
8;ICS;Location Identification;Access Management;0.5
9;ICS;Modify Alarm Settings;Access Management;0.5
10;ICS;Module Firmware;Access Management;0.5
11;ICS;Point & Tag Identification;Access Management;0.5
12;ICS;Program Download;Access Management;0.5
13;ICS;Program Upload;Access Management;0.5
14;ICS;Role Identification;Access Management;0.5
15;ICS;System Firmware;Access Management;0.5
16;ICS;Utilize/Change Operating Mode;Access Management;0.5
17;ICS;Valid Accounts;Access Management;0.5
18;ICS;Valid Accounts;Account Use Policies;0.5
19;ICS;Valid Accounts;Active Directory Configuration;0.5
20;ICS;Engineering Workstation Compromise;Antivirus/Antimalware;0.5
21;ICS;Spearphishing Attachment;Antivirus/Antimalware;0.5
22;ICS;User Execution;Antivirus/Antimalware;0.5
23;ICS;Valid Accounts;Application Developer Guidance;0.5
24;ICS;Drive-by Compromise;Application Isolation and Sandboxing;0.5
25;ICS;Exploit Public-Facing Application;Application Isolation and Sandboxing;0.5
26;ICS;Exploitation for Evasion;Application Isolation and Sandboxing;0.5
27;ICS;Exploitation of Remote Services;Application Isolation and Sandboxing;0.5
28;ICS;Scripting;Application Isolation and Sandboxing;0.5
29;ICS;Block Command Message;Audit;0.5
30;ICS;Block Reporting Message;Audit;0.5
31;ICS;Data from Information Repositories;Audit;0.5
32;ICS;Engineering Workstation Compromise;Audit;0.5
33;ICS;Hooking;Audit;0.5
34;ICS;Modify Control Logic;Audit;0.5
35;ICS;Modify Parameter;Audit;0.5
36;ICS;Module Firmware;Audit;0.5
37;ICS;Program Download;Audit;0.5
38;ICS;Program Organization Units;Audit;0.5
39;ICS;Project File Infection;Audit;0.5
40;ICS;Rootkit;Audit;0.5
41;ICS;Supply Chain Compromise;Audit;0.5
42;ICS;System Firmware;Audit;0.5
43;ICS;Valid Accounts;Audit;0.5
44;ICS;Activate Firmware Update Mode;Authorization Enforcement;0.5
45;ICS;Change Program State;Authorization Enforcement;0.5
46;ICS;Data Historian Compromise;Authorization Enforcement;0.5
47;ICS;Detect Operating Mode;Authorization Enforcement;0.5
48;ICS;Detect Program State;Authorization Enforcement;0.5
49;ICS;Device Restart/Shutdown;Authorization Enforcement;0.5
50;ICS;Engineering Workstation Compromise;Authorization Enforcement;0.5
51;ICS;Execution through API;Authorization Enforcement;0.5
52;ICS;Location Identification;Authorization Enforcement;0.5
53;ICS;Modify Alarm Settings;Authorization Enforcement;0.5
54;ICS;Modify Parameter;Authorization Enforcement;0.5
55;ICS;Point & Tag Identification;Authorization Enforcement;0.5
56;ICS;Program Download;Authorization Enforcement;0.5
57;ICS;Program Upload;Authorization Enforcement;0.5
58;ICS;Utilize/Change Operating Mode;Authorization Enforcement;0.5
59;ICS;Module Firmware;Boot Integrity;0.5
60;ICS;System Firmware;Boot Integrity;0.5
61;ICS;Block Command Message;Code Signing;0.5
62;ICS;Block Reporting Message;Code Signing;0.5
63;ICS;Masquerading;Code Signing;0.5
64;ICS;Module Firmware;Code Signing;0.5
65;ICS;Program Download;Code Signing;0.5
66;ICS;Project File Infection;Code Signing;0.5
67;ICS;Rootkit;Code Signing;0.5
68;ICS;Supply Chain Compromise;Code Signing;0.5
69;ICS;System Firmware;Code Signing;0.5
70;ICS;User Execution;Code Signing;0.5
71;ICS;Activate Firmware Update Mode;Communication Authenticity;0.5
72;ICS;Change Program State;Communication Authenticity;0.5
73;ICS;Detect Operating Mode;Communication Authenticity;0.5
74;ICS;Detect Program State;Communication Authenticity;0.5
75;ICS;Device Restart/Shutdown;Communication Authenticity;0.5
76;ICS;Location Identification;Communication Authenticity;0.5
77;ICS;Man in the Middle;Communication Authenticity;0.5
78;ICS;Manipulation of Control;Communication Authenticity;0.5
79;ICS;Manipulation of View;Communication Authenticity;0.5
80;ICS;Module Firmware;Communication Authenticity;0.5
81;ICS;Point & Tag Identification;Communication Authenticity;0.5
82;ICS;Program Download;Communication Authenticity;0.5
83;ICS;Program Upload;Communication Authenticity;0.5
84;ICS;Rogue Master Device;Communication Authenticity;0.5
85;ICS;Spoof Reporting Message;Communication Authenticity;0.5
86;ICS;System Firmware;Communication Authenticity;0.5
87;ICS;Unauthorized Command Message;Communication Authenticity;0.5
88;ICS;Utilize/Change Operating Mode;Communication Authenticity;0.5
89;ICS;Wireless Compromise;Communication Authenticity;0.5
90;ICS;Data Destruction;Data Backup;0.5
91;ICS;Denial of Control;Data Backup;0.5
92;ICS;Denial of View;Data Backup;0.5
93;ICS;Loss of Availability;Data Backup;0.5
94;ICS;Loss of Control;Data Backup;0.5
95;ICS;Loss of Productivity and Revenue;Data Backup;0.5
96;ICS;Loss of View;Data Backup;0.5
97;ICS;Manipulation of Control;Data Backup;0.5
98;ICS;Manipulation of View;Data Backup;0.5
99;ICS;Theft of Operational Information;Data Loss Prevention;0.5
100;ICS;Command-Line Interface;Disable or Remove Feature or Program;0.5
101;ICS;Commonly Used Port;Disable or Remove Feature or Program;0.5
102;ICS;Data Historian Compromise;Disable or Remove Feature or Program;0.5
103;ICS;Device Restart/Shutdown;Disable or Remove Feature or Program;0.5
104;ICS;Exploitation of Remote Services;Disable or Remove Feature or Program;0.5
105;ICS;External Remote Services;Disable or Remove Feature or Program;0.5
106;ICS;Man in the Middle;Disable or Remove Feature or Program;0.5
107;ICS;Network Service Scanning;Disable or Remove Feature or Program;0.5
108;ICS;Replication Through Removable Media;Disable or Remove Feature or Program;0.5
109;ICS;Scripting;Disable or Remove Feature or Program;0.5
110;ICS;Module Firmware;Encrypt Network Traffic;0.5
111;ICS;Network Sniffing;Encrypt Network Traffic;0.5
112;ICS;System Firmware;Encrypt Network Traffic;0.5
