number; name; kill_chain_phases; platforms;Technologies;Additions;CVSS_Exp;PR_V;AC_V;UI_V;AV_V
1;Abuse Device Administrator Access to Prevent Removal; ['persistence']; ['Android'];['Apps'];['Cell'];1,83457659;0,85;0,77;0,62;0,55
2;Access Calendar Entries; ['collection']; ['Android', 'iOS'];['Apps'];['Cell'];1,83457659;0,62;0,77;0,85;0,55
3;Access Call Log; ['collection']; ['Android', 'iOS'];['Apps'];['Cell'];1,83457659;0,62;0,77;0,85;0,55
4;Access Contact List; ['collection']; ['Android', 'iOS'];['Apps'];['Cell'];1,83457659;0,62;0,77;0,85;0,55
5;Access Notifications; ['collection', 'credential-access']; ['Android'];['Apps'];['Cell'];1,83457659;0,62;0,77;0,85;0,55
6;Access Sensitive Data in Device Logs; ['collection', 'credential-access']; ['Android'];['Apps'];['Cell'];3,887042775;0,85;0,77;0,85;0,85
7;Access Stored Application Data; ['collection', 'credential-access']; ['Android', 'iOS'];['Apps'];['Cell'];2,83525473;0,62;0,77;0,85;0,85
8;Alternate Network Mediums; ['command-and-control', 'exfiltration']; ['Android', 'iOS'];['Any','Apps'];['Wi-Fi','Bluetooth','Cell'];2,83525473;0,62;0,77;0,85;0,85
9;Application Discovery; ['defense-evasion', 'discovery']; ['Android', 'iOS'];['Apps'];['Cell'];1,83457659;0,62;0,77;0,85;0,55
10;Attack PC via USB Connection; ['lateral-movement']; ['Android'];['Any','Apps'];['USB'];0,121090464;0,27;0,44;0,62;0,2
11;Broadcast Receivers; ['persistence', 'execution']; ['Android'];['Apps'];['Cell'];1,83457659;0,62;0,77;0,85;0,55
12;Capture Audio; ['collection']; ['Android', 'iOS'];['Apps'];['Cell','Mic'];1,83457659;0,62;0,77;0,85;0,55
13;Capture Camera; ['collection']; ['Android', 'iOS'];['Apps'];['Cam'];1,83457659;0,62;0,77;0,85;0,55
14;Capture Clipboard Data; ['collection', 'credential-access']; ['Android', 'iOS'];['Apps'];['Cell'];1,83457659;0,62;0,77;0,85;0,55
15;Capture SMS Messages; ['collection', 'credential-access']; ['Android', 'iOS'];['Apps'];['Cell'];2,83525473;0,62;0,77;0,85;0,85
16;Carrier Billing Fraud; ['impact']; ['Android'];['Apps'];['Cell'];2,83525473;0,62;0,77;0,85;0,85
17;Clipboard Modification; ['impact']; ['Android'];['Apps'];['Cell'];1,83457659;0,62;0,77;0,85;0,55
18;Code Injection; ['persistence', 'privilege-escalation', 'defense-evasion']; ['Android', 'iOS'];['Apps'];['Cell'];0,798928515;0,27;0,77;0,85;0,55
19;Commonly Used Port; ['command-and-control', 'exfiltration']; ['Android', 'iOS'];['Apps'];['Cell'];2,83525473;0,62;0,77;0,85;0,85
20;Compromise Application Executable; ['persistence']; ['Android'];['Apps'];['Cell'];1,83457659;0,62;0,77;0,85;0,55
21;Data Encrypted; ['exfiltration']; ['Android', 'iOS'];['Apps'];['Cell'];2,83525473;0,62;0,77;0,85;0,85
22;Data Encrypted for Impact; ['impact']; ['Android'];['Apps'];['Cell'];1,62014556;0,62;0,44;0,85;0,85
23;Data from Local System; ['collection']; ['Android', 'iOS'];['Apps'];['Cell'];1,234707705;0,27;0,77;0,85;0,85
24;Delete Device Data; ['impact', 'defense-evasion']; ['Android'];['Apps'];['Cell'];1,83457659;0,62;0,77;0,85;0,55
25;Deliver Malicious App via Authorized App Store; ['initial-access']; ['Android', 'iOS'];['Apps'];['Cell'];2,83525473;0,85;0,77;0,62;0,85
26;Deliver Malicious App via Other Means; ['initial-access']; ['Android', 'iOS'];['Apps'];['Cell'];1,181753232;0,62;0,44;0,62;0,85
27;Device Lockout; ['impact', 'defense-evasion']; ['Android', 'iOS'];['Apps'];['Cell'];1,62014556;0,62;0,44;0,85;0,85
28;Disguise Root/Jailbreak Indicators; ['defense-evasion']; ['Android', 'iOS'];['Apps'];['Cell'];1,83457659;0,62;0,77;0,85;0,55
29;Domain Generation Algorithms; ['command-and-control']; ['Android', 'iOS'];['Apps'];['Cell'];2,83525473;0,62;0,77;0,85;0,85
30;Downgrade to Insecure Protocols; ['network-effects']; ['Android', 'iOS'];['Any','Apps'];['Wi-Fi','Cell','GPS',Bluetooth','RTK'];2,2211673;0,85;0,44;0,85;0,85
31;Download New Code at Runtime; ['defense-evasion']; ['Android', 'iOS'];['Apps'];['Cell'];2,83525473;0,62;0,77;0,85;0,85
